word,language,category,severity,variants,action
putang ina,Filipino/Tagalog,profanity,high,PUTANG INA | Putang Ina | p u t a n g i n a | p utangina | p*******a | put4ng1n4 | put4ngin4 | put@ng in@ | put@ng1n@ | putang 1na | putang ina | putang-ina,block_and_flag
p u t a n g i n a,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
p utangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
p*******a,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
put4ng1n4,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
put4ngin4,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
put@ng in@,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
put@ng1n@,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putang 1na,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putang-ina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putang1na,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putang_ina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
putangina,Filipino/Tagalog,profanity,high,putang ina,block_and_flag
put@ngin@,Filipino/Tagalog,profanity,high,putangina,block_and_flag
puta,Filipino/Tagalog,profanity,high,PUTA | Puta | p u t a | p uta | p**a | put4 | put@ | puta,block_and_flag
p u t a,Filipino/Tagalog,profanity,high,puta,block_and_flag
p uta,Filipino/Tagalog,profanity,high,puta,block_and_flag
p**a,Filipino/Tagalog,profanity,high,puta,block_and_flag
put4,Filipino/Tagalog,profanity,high,puta,block_and_flag
put@,Filipino/Tagalog,profanity,high,puta,block_and_flag
pota,Filipino/Tagalog,profanity,high,POTA | Pota | p o t a | p ota | p**a | p0t@ | p0ta | pot4 | pot@ | pota,block_and_flag
p o t a,Filipino/Tagalog,profanity,high,pota,block_and_flag
p ota,Filipino/Tagalog,profanity,high,pota,block_and_flag
p0t@,Filipino/Tagalog,profanity,high,pota,block_and_flag
p0ta,Filipino/Tagalog,profanity,high,pota,block_and_flag
pot4,Filipino/Tagalog,profanity,high,pota,block_and_flag
pot@,Filipino/Tagalog,profanity,high,pota,block_and_flag
tanga,Filipino/Tagalog,insult,medium,TANGA | Tanga | t a n g a | t anga | t***a | t4ng4 | t@ng@ | tanga,warn_and_log
t a n g a,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t anga,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t***a,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t4ng4,Filipino/Tagalog,insult,medium,tanga,warn_and_log
t@ng@,Filipino/Tagalog,insult,medium,tanga,warn_and_log
bobo,Filipino/Tagalog,insult,medium,BOBO | Bobo | b o b o | b obo | b**o | b0b0 | bobo,warn_and_log
b o b o,Filipino/Tagalog,insult,medium,bobo,warn_and_log
b obo,Filipino/Tagalog,insult,medium,bobo,warn_and_log
b**o,Filipino/Tagalog,insult,medium,bobo,warn_and_log
b0b0,Filipino/Tagalog,insult,medium,bobo,warn_and_log
gago,Filipino/Tagalog,insult,high,GAGO | Gago | g a g o | g ago | g**o | g4go | g@g0 | g@go | gag0 | gago,block_and_flag
g a g o,Filipino/Tagalog,insult,high,gago,block_and_flag
g ago,Filipino/Tagalog,insult,high,gago,block_and_flag
g**o,Filipino/Tagalog,insult,high,gago,block_and_flag
g4go,Filipino/Tagalog,insult,high,gago,block_and_flag
g@g0,Filipino/Tagalog,insult,high,gago,block_and_flag
g@go,Filipino/Tagalog,insult,high,gago,block_and_flag
gag0,Filipino/Tagalog,insult,high,gago,block_and_flag
tarantado,Filipino/Tagalog,insult,high,TARANTADO | Tarantado | t a r a n t a d o | t arantado | t*******o | t4r4nt4do | t@r@nt@d0 | t@r@nt@do | tarantad0 | tarantado,block_and_flag
t a r a n t a d o,Filipino/Tagalog,insult,high,tarantado,block_and_flag
